group,key,value,units,classification,declared_source,source,qualification
BC 계면/수치 입력,interface.water.anode.waterStoichiometry_mol_per_molElectron,0.5,키/정의 참조,상수/화학종·반응 정의(반응 정의는 별도 검증 필요),,config/default_lp_pva.yaml:341,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 비활성 또는 OFF 설정,interface.water.anode.gasYield_mol_per_molElectron,0.75,키/정의 참조,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:342,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 비활성 또는 OFF 설정,interface.water.anode.referenceActivity,1.0,키/정의 참조,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:343,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 비활성 또는 OFF 설정,interface.water.anode.nernstReactionQuotientExponent,-1.0,키/정의 참조,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:344,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.water.cathode.equilibriumPotential_V,1.23,V,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:346,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.water.cathode.exchangeCurrentDensity_A_per_m2,10.0,kg/m³,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:347,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.water.cathode.chargeTransferCoefficient,0.5,키 정의 확인(주로 무차원),물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:348,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.water.cathode.reverseAvailabilityFraction,1.0,키 정의 확인(주로 무차원),물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:349,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.water.cathode.electronNumber,2.0,키/정의 참조,상수/화학종·반응 정의(반응 정의는 별도 검증 필요),,config/default_lp_pva.yaml:350,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.water.cathode.massTransferCoefficient_m_per_s,1.2e-05,키 정의 확인(주로 무차원),물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:351,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.water.cathode.reactionEnthalpy_J_per_mol,20000.0,J/mol,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:352,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.water.cathode.waterStoichiometry_mol_per_molElectron,0.5,키/정의 참조,상수/화학종·반응 정의(반응 정의는 별도 검증 필요),,config/default_lp_pva.yaml:353,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 비활성 또는 OFF 설정,interface.water.cathode.gasYield_mol_per_molElectron,0.75,키/정의 참조,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:354,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 비활성 또는 OFF 설정,interface.water.cathode.referenceActivity,1.0,키/정의 참조,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:355,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 비활성 또는 OFF 설정,interface.water.cathode.nernstReactionQuotientExponent,-1.0,키/정의 참조,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:356,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.lp.anode.equilibriumPotential_V,3.0,V,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:359,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.lp.anode.exchangeCurrentDensity_A_per_m2,1.0,kg/m³,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:360,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.lp.anode.chargeTransferCoefficient,0.5,키 정의 확인(주로 무차원),물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:361,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.lp.anode.reverseAvailabilityFraction,1.0,키 정의 확인(주로 무차원),물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:362,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.lp.anode.electronNumber,1.0,키/정의 참조,상수/화학종·반응 정의(반응 정의는 별도 검증 필요),,config/default_lp_pva.yaml:363,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.lp.anode.massTransferCoefficient_m_per_s,4e-06,키 정의 확인(주로 무차원),물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:364,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.lp.anode.reactionEnthalpy_J_per_mol,80000.0,J/mol,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:365,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.lp.anode.saltStoichiometry_mol_per_molElectron,1.0,키/정의 참조,상수/화학종·반응 정의(반응 정의는 별도 검증 필요),,config/default_lp_pva.yaml:366,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 비활성 또는 OFF 설정,interface.lp.anode.gasYield_mol_per_molElectron,0.4,키/정의 참조,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:367,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 비활성 또는 OFF 설정,interface.lp.anode.referenceActivity,1.0,키/정의 참조,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:368,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 비활성 또는 OFF 설정,interface.lp.anode.nernstReactionQuotientExponent,-1.0,키/정의 참조,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:369,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.lp.cathode.equilibriumPotential_V,3.0,V,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:371,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.lp.cathode.exchangeCurrentDensity_A_per_m2,0.8,kg/m³,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:372,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.lp.cathode.chargeTransferCoefficient,0.5,키 정의 확인(주로 무차원),물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:373,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.lp.cathode.reverseAvailabilityFraction,1.0,키 정의 확인(주로 무차원),물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:374,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.lp.cathode.electronNumber,1.0,키/정의 참조,상수/화학종·반응 정의(반응 정의는 별도 검증 필요),,config/default_lp_pva.yaml:375,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.lp.cathode.massTransferCoefficient_m_per_s,3e-06,키 정의 확인(주로 무차원),물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:376,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.lp.cathode.reactionEnthalpy_J_per_mol,50000.0,J/mol,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:377,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.lp.cathode.saltStoichiometry_mol_per_molElectron,1.0,키/정의 참조,상수/화학종·반응 정의(반응 정의는 별도 검증 필요),,config/default_lp_pva.yaml:378,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 비활성 또는 OFF 설정,interface.lp.cathode.gasYield_mol_per_molElectron,0.5,키/정의 참조,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:379,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 비활성 또는 OFF 설정,interface.lp.cathode.referenceActivity,1.0,키/정의 참조,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:380,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 비활성 또는 OFF 설정,interface.lp.cathode.nernstReactionQuotientExponent,-1.0,키/정의 참조,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:381,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 비활성 또는 OFF 설정,interface.nernst.enabled,false,키/정의 참조,모델 선택/가정,,config/nsga2_bc_reactive_a100_cpu8.yaml:331,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 비활성 또는 OFF 설정,interface.nernst.activityCoefficientModel,"""extended_debye_huckel_proxy""",키 정의 확인(주로 무차원),모델 선택/가정,status: nominal_unvalidated_concentration_activity_closure,config/default_lp_pva.yaml:384,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 비활성 또는 OFF 설정,interface.nernst.activityFloor,1e-06,키/정의 참조,수치 설정/제한,status: nominal_unvalidated_concentration_activity_closure,config/default_lp_pva.yaml:385,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 비활성 또는 OFF 설정,interface.nernst.activityA,0.2,키/정의 참조,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,status: nominal_unvalidated_concentration_activity_closure,config/default_lp_pva.yaml:386,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 비활성 또는 OFF 설정,interface.nernst.activityB,1.0,키/정의 참조,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,status: nominal_unvalidated_concentration_activity_closure,config/default_lp_pva.yaml:387,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 비활성 또는 OFF 설정,interface.nernst.activityLinearPerMolL,0.0,키/정의 참조,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,status: nominal_unvalidated_concentration_activity_closure,config/default_lp_pva.yaml:388,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 비활성 또는 OFF 설정,interface.nernst.maximumLog10ActivityCoefficientMagnitude,0.5,키 정의 확인(주로 무차원),물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,status: nominal_unvalidated_concentration_activity_closure,config/default_lp_pva.yaml:389,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 비활성 또는 OFF 설정,interface.nernst.maximumAbsoluteShift_V,0.25,V,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,status: nominal_unvalidated_concentration_activity_closure,config/default_lp_pva.yaml:390,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 비활성 또는 OFF 설정,interface.nernst.status,"""nominal_unvalidated_concentration_activity_closure""",키/정의 참조,출처/의미/상태 메타데이터,status: nominal_unvalidated_concentration_activity_closure,config/default_lp_pva.yaml:391,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.blocking.minimumActiveAreaFraction,1.0,키 정의 확인(주로 무차원),운영/초기/기하 조건(수분·두께 등 측정 필요),,config/nsga2_bc_reactive_a100_cpu8.yaml:333,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 비활성 또는 OFF 설정,interface.blocking.passivation.enabled,false,키/정의 참조,모델 선택/가정,,config/nsga2_bc_reactive_a100_cpu8.yaml:335,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 비활성 또는 OFF 설정,interface.blocking.passivation.formationRate_per_s,0.02,키/정의 참조,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,status: reduced_nominal_unvalidated,config/default_lp_pva.yaml:396,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 비활성 또는 OFF 설정,interface.blocking.passivation.removalRate_per_s,0.005,키/정의 참조,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,status: reduced_nominal_unvalidated,config/default_lp_pva.yaml:397,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 비활성 또는 OFF 설정,interface.blocking.passivation.referenceCurrentDensity_A_per_m2,1000.0,kg/m³,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,status: reduced_nominal_unvalidated,config/default_lp_pva.yaml:398,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 비활성 또는 OFF 설정,interface.blocking.passivation.currentExponent,1.0,키/정의 참조,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,status: reduced_nominal_unvalidated,config/default_lp_pva.yaml:399,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 비활성 또는 OFF 설정,interface.blocking.passivation.formationActivationTemperature_K,360.0,K,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,status: reduced_nominal_unvalidated,config/default_lp_pva.yaml:400,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 비활성 또는 OFF 설정,interface.blocking.passivation.formationActivationWidth_K,25.0,키/정의 참조,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,status: reduced_nominal_unvalidated,config/default_lp_pva.yaml:401,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 비활성 또는 OFF 설정,interface.blocking.passivation.status,"""reduced_nominal_unvalidated""",키/정의 참조,출처/의미/상태 메타데이터,status: reduced_nominal_unvalidated,config/default_lp_pva.yaml:402,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 비활성 또는 OFF 설정,interface.blocking.gasCoverage.enabled,false,키/정의 참조,모델 선택/가정,,config/nsga2_bc_reactive_a100_cpu8.yaml:337,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 비활성 또는 OFF 설정,interface.blocking.gasCoverage.formationRate_per_s,0.2,키/정의 참조,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,status: reduced_nominal_unvalidated,config/default_lp_pva.yaml:405,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 비활성 또는 OFF 설정,interface.blocking.gasCoverage.detachmentRate_per_s,1.0,키/정의 참조,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,status: reduced_nominal_unvalidated,config/default_lp_pva.yaml:406,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 비활성 또는 OFF 설정,interface.blocking.gasCoverage.referenceGasSource_mol_per_m3_s,100.0,키/정의 참조,출처/의미/상태 메타데이터,status: reduced_nominal_unvalidated,config/default_lp_pva.yaml:407,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 비활성 또는 OFF 설정,interface.blocking.gasCoverage.thermalInsulationFraction,0.5,키 정의 확인(주로 무차원),물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,status: reduced_nominal_unvalidated,config/default_lp_pva.yaml:408,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 비활성 또는 OFF 설정,interface.blocking.gasCoverage.status,"""reduced_nominal_unvalidated""",키/정의 참조,출처/의미/상태 메타데이터,status: reduced_nominal_unvalidated,config/default_lp_pva.yaml:409,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.boundaryCouplingModel,"""surface_overlay_bv""",키/정의 참조,모델 선택/가정,,config/nsga2_bc_reactive_a100_cpu8.yaml:326,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.nonlinearRobin.minimumIterations,2,키/정의 참조,수치 설정/제한,status: implicit_face_bv_drop_variable_exact_global_gauge_balance_v7_7_5,config/default_lp_pva.yaml:412,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.nonlinearRobin.maximumIterations,120,키/정의 참조,수치 설정/제한,status: implicit_face_bv_drop_variable_exact_global_gauge_balance_v7_7_5,config/default_lp_pva.yaml:413,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.nonlinearRobin.potentialTolerance_V,0.01,V,수치 설정/제한,status: implicit_face_bv_drop_variable_exact_global_gauge_balance_v7_7_5,config/default_lp_pva.yaml:414,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.nonlinearRobin.relativeReactionCurrentTolerance,0.005,키/정의 참조,수치 설정/제한,status: implicit_face_bv_drop_variable_exact_global_gauge_balance_v7_7_5,config/default_lp_pva.yaml:415,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.nonlinearRobin.currentBalanceTolerance,0.005,키/정의 참조,수치 설정/제한,status: implicit_face_bv_drop_variable_exact_global_gauge_balance_v7_7_5,config/default_lp_pva.yaml:416,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.nonlinearRobin.underRelaxation,0.35,키/정의 참조,수치 설정/제한,status: implicit_face_bv_drop_variable_exact_global_gauge_balance_v7_7_5,config/default_lp_pva.yaml:417,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.nonlinearRobin.failOnNonConvergence,true,키/정의 참조,모델 선택/가정,status: implicit_face_bv_drop_variable_exact_global_gauge_balance_v7_7_5,config/default_lp_pva.yaml:418,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.nonlinearRobin.status,"""implicit_face_bv_drop_variable_exact_global_gauge_balance_v7_7_5""",키/정의 참조,출처/의미/상태 메타데이터,status: implicit_face_bv_drop_variable_exact_global_gauge_balance_v7_7_5,config/default_lp_pva.yaml:419,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.nonlinearRobin.potentialUnderRelaxation,0.35,키/정의 참조,수치 설정/제한,status: implicit_face_bv_drop_variable_exact_global_gauge_balance_v7_7_5,config/default_lp_pva.yaml:420,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.nonlinearRobin.currentBalanceAbsoluteTolerance_A,1e-12,키/정의 참조,수치 설정/제한,status: implicit_face_bv_drop_variable_exact_global_gauge_balance_v7_7_5,config/default_lp_pva.yaml:421,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.nonlinearRobin.gaugeBracketMargin_V,25.0,V,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,status: implicit_face_bv_drop_variable_exact_global_gauge_balance_v7_7_5,config/default_lp_pva.yaml:422,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.nonlinearRobin.gaugeMinimumIterations,1,키/정의 참조,수치 설정/제한,status: implicit_face_bv_drop_variable_exact_global_gauge_balance_v7_7_5,config/default_lp_pva.yaml:423,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.nonlinearRobin.gaugeMaximumIterations,24,키/정의 참조,수치 설정/제한,status: implicit_face_bv_drop_variable_exact_global_gauge_balance_v7_7_5,config/default_lp_pva.yaml:424,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.nonlinearRobin.gaugeUnderRelaxation,1.0,키/정의 참조,수치 설정/제한,status: implicit_face_bv_drop_variable_exact_global_gauge_balance_v7_7_5,config/default_lp_pva.yaml:425,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.nonlinearRobin.gaugeMaximumStep_V,65.0,V,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,status: implicit_face_bv_drop_variable_exact_global_gauge_balance_v7_7_5,config/default_lp_pva.yaml:426,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.nonlinearRobin.gaugeDerivativeFloor_A_per_V,1e-14,V,수치 설정/제한,status: implicit_face_bv_drop_variable_exact_global_gauge_balance_v7_7_5,config/default_lp_pva.yaml:427,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.nonlinearRobin.gaugeBisectionIterations,60,키/정의 참조,수치 설정/제한,status: implicit_face_bv_drop_variable_exact_global_gauge_balance_v7_7_5,config/default_lp_pva.yaml:428,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.nonlinearRobin.localInterfaceIterations,60,키/정의 참조,수치 설정/제한,status: implicit_face_bv_drop_variable_exact_global_gauge_balance_v7_7_5,config/default_lp_pva.yaml:429,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.nonlinearRobin.localRobinResidualTolerance_A_per_m2,0.01,키/정의 참조,수치 설정/제한,status: implicit_face_bv_drop_variable_exact_global_gauge_balance_v7_7_5,config/default_lp_pva.yaml:430,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.nonlinearRobin.localRobinRelativeResidualTolerance,0.0001,키/정의 참조,수치 설정/제한,status: implicit_face_bv_drop_variable_exact_global_gauge_balance_v7_7_5,config/default_lp_pva.yaml:431,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.nonlinearRobin.localRoundoffSafetyFactor,2.0,키/정의 참조,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,status: implicit_face_bv_drop_variable_exact_global_gauge_balance_v7_7_5,config/default_lp_pva.yaml:432,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.nonlinearRobin.localInterfaceMinimumIterations,8,키/정의 참조,수치 설정/제한,status: implicit_face_bv_drop_variable_exact_global_gauge_balance_v7_7_5,config/default_lp_pva.yaml:433,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.nonlinearRobin.localInterfaceMaximumIterations,60,키/정의 참조,수치 설정/제한,status: implicit_face_bv_drop_variable_exact_global_gauge_balance_v7_7_5,config/default_lp_pva.yaml:434,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.nonlinearRobin.localNewtonPolishIterations,2,키/정의 참조,수치 설정/제한,status: implicit_face_bv_drop_variable_exact_global_gauge_balance_v7_7_5,config/default_lp_pva.yaml:435,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.nonlinearRobin.minimumIterationsStatic,2,키/정의 참조,수치 설정/제한,status: implicit_face_bv_drop_variable_exact_global_gauge_balance_v7_7_5,config/default_lp_pva.yaml:436,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 계면/수치 입력,interface.nonlinearRobin.minimumIterationsCoupled,2,키/정의 참조,수치 설정/제한,status: implicit_face_bv_drop_variable_exact_global_gauge_balance_v7_7_5,config/default_lp_pva.yaml:437,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
기존 경로 전용; BC에서 미사용,chemical.enabled,false,키/정의 참조,모델 선택/가정,,python/ecsp_nsga2/evaluator.py (override/derived); resolved_bc_production_physics.json; upstream: config/default_lp_pva.yaml:439,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
기존 경로 전용; BC에서 미사용,chemical.preExponentialFactor_per_s,5000000000.0,키/정의 참조,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:440,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
기존 경로 전용; BC에서 미사용,chemical.activationEnergy_J_per_mol,110000.0,J/mol,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:441,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
기존 경로 전용; BC에서 미사용,chemical.reactionOrder,1.0,키/정의 참조,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:442,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
기존 경로 전용; BC에서 미사용,chemical.oxidizerOrder,0.5,키/정의 참조,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:443,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
기존 경로 전용; BC에서 미사용,chemical.oxidizerConsumptionFractionPerUnitProgress,0.25,키 정의 확인(주로 무차원),물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:444,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
기존 경로 전용; BC에서 미사용,chemical.maximumRate_per_s,50.0,키/정의 참조,수치 설정/제한,,config/default_lp_pva.yaml:445,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
기존 경로 전용; BC에서 미사용,chemical.heatRelease_J_per_kg,200000.0,J/kg,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:446,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
기존 경로 전용; BC에서 미사용,chemical.effectiveGasMolarMass_kg_per_mol,0.03,키/정의 참조,상수/화학종·반응 정의(반응 정의는 별도 검증 필요),,config/default_lp_pva.yaml:447,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
기존 경로 전용; BC에서 미사용,chemical.gasYieldMassFraction,0.35,키 정의 확인(주로 무차원),물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:448,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
기존 경로 전용; BC에서 미사용,chemical.activationTemperature_K,430.0,K,물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:449,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 열물성은 bcGlobal.thermal 사용; 일부 공통 기준,thermal.density_kg_per_m3,null,kg/m³,모델 선택/가정,,config/default_lp_pva.yaml:451,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 열물성은 bcGlobal.thermal 사용; 일부 공통 기준,thermal.heatCapacity_J_per_kgK,2200.0,J/(kg K),수치 설정/제한,,config/default_lp_pva.yaml:452,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 열물성은 bcGlobal.thermal 사용; 일부 공통 기준,thermal.thermalConductivity_W_per_mK,0.4,W/(m K),물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:453,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 열물성은 bcGlobal.thermal 사용; 일부 공통 기준,thermal.initialTemperature_K,298.15,K,운영/초기/기하 조건(수분·두께 등 측정 필요),,config/default_lp_pva.yaml:454,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 열물성은 bcGlobal.thermal 사용; 일부 공통 기준,thermal.ambientTemperature_K,298.15,K,운영/초기/기하 조건(수분·두께 등 측정 필요),,config/default_lp_pva.yaml:455,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
BC 열물성은 bcGlobal.thermal 사용; 일부 공통 기준,thermal.convectionCoefficient_W_per_m2K,12.0,W/(m² K),물성/경험/속도론 값: 실제 시료 미보정 또는 코드 유도값,,config/default_lp_pva.yaml:456,A100/CPU8 production profile resolved on CPU for inspection; no material calibration
